frame,id,x,y
42,43,880,616
42,35,1373,372
42,2,1081,484
42,5,359,461
42,6,1440,478
42,18,1012,542
42,7,1509,264
42,28,1068,260
42,11,1470,328
42,0,1902,560
42,46,855,361
42,47,838,214
43,24,724,541
43,17,874,978
43,43,877,617
43,2,1086,485
43,5,355,465
43,6,1446,481
43,35,1375,377
43,11,1481,326
43,7,1512,266
43,28,1072,258
43,18,1017,493
43,0,1904,560
43,46,820,352
43,47,842,213
44,17,871,981
44,6,1450,483
44,24,729,542
44,43,865,618
44,5,352,466
44,2,1041,505
44,11,1493,328
44,28,1076,255
44,35,1382,358
44,7,1514,266
44,48,1026,555
44,49,1014,571
44,46,786,342
44,18,1048,523
45,17,868,981
45,43,859,623
45,11,1505,327
45,24,735,544
45,50,1099,483
45,6,1453,484
45,35,1378,383
45,5,359,468
45,28,1081,253
45,48,1026,584
45,2,1046,525
45,7,1514,242
46,43,862,624
46,17,867,981
46,24,741,545
46,6,1458,486
46,5,365,469
46,11,1510,334
46,35,1388,387
46,28,1085,253
46,48,1035,594
46,50,1071,514
46,2,1082,540
46,7,1511,244
47,17,870,981
47,43,868,625
47,24,743,548
47,6,1464,487
47,48,1041,594
47,28,1092,258
47,5,371,471
47,11,1526,334
47,35,1384,393
47,50,1082,522
47,7,1509,264
47,51,867,209
48,17,869,981
48,24,744,546
48,43,869,624
48,35,1386,397
48,11,1537,336
48,6,1476,487
48,5,370,478
48,28,1096,261
48,48,1052,618
48,7,1512,271
48,50,1107,550
48,52,1118,482
48,53,1118,460
49,17,862,981
49,24,749,553
49,6,1484,493
49,43,861,624
49,28,1101,261
49,11,1549,343
49,35,1407,400
49,48,1065,611
49,50,1118,560
49,7,1512,268
49,5,380,468
49,54,881,209
50,17,858,979
50,11,1560,342
50,6,1489,498
50,35,1410,403
50,28,1106,264
50,43,856,623
50,24,753,558
50,50,1125,602
50,7,1514,266
50,5,389,469
50,55,1130,505
50,48,1072,629
50,54,887,211
51,17,860,977
51,6,1500,502
51,11,1573,344
51,35,1407,408
51,5,391,475
51,43,851,622
51,7,1516,269
51,24,760,560
51,28,1110,264
51,55,1140,543
51,48,1082,647
51,50,1145,581
51,54,892,213
52,17,861,977
52,6,1504,507
52,11,1581,343
52,43,843,622
52,35,1423,408
52,24,768,564
52,5,395,488
52,50,1156,592
52,7,1517,267
52,28,1114,265
52,56,1142,490
52,48,1091,653
53,17,861,975
53,24,772,569
53,11,1595,346
53,6,1510,510
53,43,845,623
53,35,1422,411
53,50,1167,609
53,7,1518,271
53,56,1150,495
53,5,396,491
53,28,1116,269
53,48,1097,655
53,57,904,216
54,17,863,975
54,11,1606,345
54,6,1515,514
54,35,1427,413
54,56,1152,497
54,43,832,623
54,7,1515,273
54,24,772,571
54,28,1118,272
54,5,398,488
54,48,1129,660
54,50,1187,591
55,17,860,975
55,56,1159,499
55,6,1520,514
55,35,1433,413
55,11,1621,348
55,43,830,624
55,7,1516,275
55,5,405,479
55,24,776,571
55,28,1122,274
55,50,1195,607
55,48,1117,663
56,17,857,976
56,6,1524,514
56,11,1629,344
56,43,809,629
56,56,1161,497
56,35,1433,413
56,50,1217,612
56,7,1514,274
56,5,405,482
56,28,1125,275
56,24,780,588
56,48,1125,661
57,17,851,977
57,11,1643,346
57,35,1436,415
57,43,802,635
57,6,1528,515
57,56,1162,497
57,5,405,478
57,28,1127,274
57,50,1229,606
57,7,1513,274
57,24,783,547
57,48,1144,660
58,17,846,976
58,11,1648,344
58,35,1440,414
58,43,789,644
58,6,1530,515
58,50,1226,603
58,56,1165,495
58,7,1509,274
58,28,1126,269
58,5,421,470
58,48,1148,659
58,24,785,538
59,35,1443,415
59,50,1251,608
59,6,1533,514
59,17,835,973
59,11,1652,343
59,56,1167,496
59,28,1123,268
59,7,1501,274
59,5,404,464
59,43,773,646
59,48,1150,657
59,58,1759,51
60,11,1653,345
60,35,1446,416
60,17,828,971
60,56,1169,495
60,50,1254,606
60,6,1534,515
60,5,401,466
60,28,1122,268
60,7,1498,273
60,43,770,642
60,48,1146,657
60,59,785,534
61,11,1656,347
61,56,1169,495
61,50,1258,607
61,17,825,969
61,35,1448,416
61,6,1534,518
61,28,1120,267
61,5,394,470
61,7,1491,271
61,43,769,652
61,48,1145,661
62,6,1536,522
62,50,1266,606
62,11,1660,349
62,56,1170,496
62,17,820,968
62,35,1445,417
62,28,1119,267
62,7,1484,273
62,5,387,466
62,48,1138,664
62,60,768,600
62,43,770,654
63,6,1536,523
63,56,1171,497
63,50,1270,603
63,35,1444,416
63,17,817,967
63,28,1118,267
63,7,1482,273
63,11,1665,350
63,43,769,655
63,5,385,469
63,48,1136,667
63,61,788,540
64,56,1173,498
64,6,1535,524
64,17,812,964
64,35,1443,418
64,11,1669,350
64,28,1116,266
64,5,381,462
64,50,1279,600
64,43,766,657
64,48,1133,670
64,7,1481,269
64,61,787,542
64,62,920,207
65,6,1534,524
65,17,810,967
65,56,1175,498
65,11,1674,351
65,50,1290,599
65,35,1443,418
65,28,1114,268
65,43,766,656
65,5,376,468
65,48,1130,670
65,7,1478,269
65,61,788,538
66,17,805,969
66,6,1535,525
66,50,1299,601
66,56,1176,499
66,28,1114,270
66,35,1442,419
66,11,1677,347
66,5,372,459
66,43,767,653
66,48,1126,672
66,7,1475,275
66,61,790,535
67,17,801,969
67,56,1176,498
67,6,1539,526
67,28,1111,269
67,35,1442,420
67,7,1480,279
67,43,767,642
67,50,1311,601
67,11,1683,348
67,5,371,453
67,48,1128,672
68,17,794,970
68,11,1689,348
68,28,1111,268
68,6,1542,528
68,50,1320,604
68,56,1178,499
68,43,771,650
68,35,1441,422
68,48,1128,674
68,5,368,453
68,7,1479,283
68,63,790,536
69,17,789,970
69,11,1695,348
69,6,1543,531
69,43,777,651
69,50,1331,608
69,28,1109,267
69,56,1179,500
69,5,365,452
69,35,1438,424
69,48,1127,675
69,7,1477,280
69,63,790,539
70,17,785,968
70,28,1107,266
70,50,1335,611
70,6,1547,532
70,11,1702,352
70,35,1439,422
70,43,785,643
70,56,1181,499
70,7,1475,281
70,5,365,464
70,48,1129,676
