frame,id,x,y
201,66,137,961
201,71,1274,833
202,67,1264,652
202,68,880,498
202,66,144,947
202,72,1329,822
203,67,1264,652
203,68,881,498
203,66,144,947
203,72,1328,822
204,67,1264,652
204,68,880,498
204,66,144,947
204,72,1328,823
205,67,1230,639
205,68,915,499
205,66,145,935
206,67,1231,639
206,68,915,499
206,66,145,935
207,73,1406,816
207,66,113,927
207,74,830,546
207,75,1139,646
208,73,1406,816
208,66,113,927
208,74,829,545
208,75,1137,646
209,73,1402,817
209,76,880,538
209,77,1013,541
209,78,80,986
210,73,1402,817
210,76,880,538
210,77,1017,541
210,78,81,984
211,73,1402,817
211,76,880,538
211,78,81,984
211,77,1052,550
212,79,821,536
212,73,1388,817
213,79,821,536
213,73,1388,817
214,79,773,539
214,73,1364,811
215,79,772,539
215,73,1364,811
216,79,773,539
216,73,1364,811
217,79,759,538
217,73,1338,806
218,79,759,538
218,73,1337,806
219,80,694,530
219,73,1315,805
220,80,694,530
220,73,1315,805
221,80,696,530
221,73,1314,805
222,80,697,530
222,73,1314,805
223,80,696,530
223,73,1314,805
224,80,650,521
224,73,1292,808
225,80,653,521
225,73,1291,808
226,80,624,517
226,73,1261,808
227,80,624,517
227,73,1261,808
228,80,624,518
228,73,1261,808
229,80,585,516
229,73,1224,813
230,80,585,516
231,80,565,523
231,81,1193,821
232,80,564,523
233,80,552,530
233,82,1168,826
233,83,1867,124
233,84,817,188
233,85,1771,104
234,80,552,530
234,82,1168,826
234,83,1867,124
234,85,1771,105
234,84,817,187
235,80,551,530
235,82,1168,826
235,83,1867,124
235,85,1770,105
236,80,548,524
236,82,1136,831
236,85,1734,132
237,80,550,515
237,82,1136,831
237,85,1734,133
237,86,1524,91
237,87,1629,110
238,80,562,523
238,82,1122,837
238,87,1648,137
238,88,1114,55
238,86,1546,118
239,80,562,522
239,82,1123,837
239,87,1648,137
239,88,1114,54
239,86,1547,118
240,80,560,521
240,82,1123,837
240,87,1648,137
240,88,1114,54
240,86,1547,118
241,80,558,549
241,82,1110,841
241,86,1566,143
241,89,1035,58
241,90,1463,122
242,80,557,547
242,82,1110,841
242,86,1566,144
242,89,1035,58
242,90,1463,122
243,80,587,548
243,82,1107,844
243,91,962,60
244,80,587,548
244,82,1107,844
244,91,962,60
245,80,556,546
245,82,1105,844
246,80,556,546
246,82,1105,844
246,92,888,58
247,80,556,546
247,82,1105,844
247,92,888,58
248,80,544,543
248,82,1099,841
248,93,823,60
249,80,545,543
249,82,1098,841
249,93,823,60
250,80,551,534
250,82,1098,838
251,80,552,534
251,82,1098,838
252,80,552,534
252,82,1098,838
253,80,569,546
253,82,1100,836
253,94,688,56
254,80,568,546
254,82,1101,836
254,94,689,56
255,95,699,548
255,82,1100,836
256,95,699,548
256,82,1101,836
257,96,777,555
257,97,562,57
258,96,777,555
258,97,562,57
259,96,777,555
259,97,562,57
260,96,777,555
260,97,562,57
261,96,777,555
261,97,562,57
262,96,777,555
262,97,562,57
263,96,777,555
263,97,562,57
264,96,777,552
264,97,562,57
265,96,748,565
266,96,748,565
267,98,682,583
267,99,1093,843
267,100,434,61
268,98,682,582
268,99,1093,843
269,98,682,582
269,99,1093,843
